データコード,PR03'PRIO05_8A0030001,PR03'PRIO05_8A0030003,PR03'PRIO05_8A0030004,PR03'PRIO05_8A0030006,PR03'PRIO05_8A0030007,PR03'PRIO05_8A0030008,PR03'PRIO05_8A0030009,PR03'PRIO05_8A0030010,PR03'PRIO05_8A0030014,PR03'PRIO05_8A0030015,PR03'PRIO05_8F0030001
系列名称,"産出(大部門/内訳大分類)/飲食料品","産出(大部門/内訳大分類)/パルプ・紙・木製品","産出(大部門/内訳大分類)/化学製品","産出(大部門/内訳大分類)/窯業・土石製品","産出(大部門/内訳大分類)/鉄鋼","産出(大部門/内訳大分類)/非鉄金属","産出(大部門/内訳大分類)/金属製品","産出(大部門/内訳大分類)/一般機械","産出(大部門/内訳大分類)/輸送機械","産出(大部門/内訳大分類)/精密機械","産出(大部門/内訳大分類)/(参考)電気機械、情報・通信機器、電子部品"
1978,,,,,,,,,,,
1979,,,,,,,,,,,
1980,83.7666666666667,105.183333333333,116.658333333333,101.75,93.1666666666667,125.65,94.675,100.575,116.991666666667,129.091666666667,265.516666666667
1981,87.5333333333333,100.225,114.808333333333,105.025,94.5666666666666,112.266666666667,96.2916666666667,102.325,118.708333333333,127.758333333333,265.408333333333
1982,87.95,100.066666666667,113.808333333333,106.25,95.9,108.083333333333,95.6583333333333,103.816666666667,120.075,124.291666666667,262.825
1983,89.475,98.0833333333334,111.425,105.566666666667,93.0083333333333,109.808333333333,94.975,103.108333333333,120.133333333333,119.575,255.141666666667
1984,93.0833333333334,99.3666666666667,109.466666666667,105.7,93.4333333333333,107.333333333333,96.7833333333333,103.425,120.85,118.5,253.15
1985,92.9666666666667,97.9166666666667,107.908333333333,102.741666666667,92.55,102.216666666667,97.4,103.966666666667,120.2,118.666666666667,246.591666666667
1986,91.925,94.625,100.091666666667,101.633333333333,85.1916666666667,86.75,95.3166666666667,100.608333333333,115.383333333333,116.383333333333,226.808333333333
1987,91.075,95.775,95.5416666666667,100.125,82.95,87.0916666666667,92.9416666666667,98.5583333333333,112.65,114.891666666667,213.641666666667
1988,90.95,96.4416666666667,94.675,100.008333333333,84.4833333333333,95.1166666666667,94.6666666666667,98.4583333333333,110.375,112.425,202.8
1989,92.275,100.083333333333,96.4416666666667,102.308333333333,87,101.783333333333,99.1583333333333,102.158333333333,111.766666666667,110.783333333333,200.816666666667
1990,93.925,102.491666666667,98.1083333333333,105.183333333333,88.4333333333333,100.65,103.7,105.408333333333,112.866666666667,112.275,196.916666666667
