code_union,code_union_app,year,ind_union,ind_union_eng,name_union,app_code_name_eng,quantity,sales.m,quantity_t,sales_b,unitval_m,q_indagg,pq_indagg,q_indagg_loo,pq_indagg_loo,p_indagg_loo
1,110,1978,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,51,600.75,0.051,0.60075,11.779411764705884,6255,11199.604000000001,6204,10598.854000000001,1.7083903932946487
1,110,1979,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,45,1389.987,0.045,1.389987,30.888600000000004,9002,15354.395,8957,13964.408,1.559049681813107
1,110,1980,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,17,457,0.017,0.457,26.88235294117647,9704,20294.804,9687,19837.804,2.047879013110354
1,110,1981,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,24,1058.74,0.024,1.05874,44.11416666666667,9810,23869.861,9786,22811.121,2.330995401594114
1,110,1982,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,48,695.474,0.048,0.695474,14.489041666666667,9138,27462.097,9090,26766.623000000003,2.94462299229923
1,110,1983,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,56,1532.362,0.056,1.532362,27.36360714285714,11653,32389.708,11597,30857.345999999998,2.6608041734931445
1,110,1984,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,84,689.355,0.084,0.689355,8.206607142857143,13165,37236.078,13081,36546.723,2.7938783732130568
1,110,1985,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,21,449.658,0.021,0.449658,21.412285714285712,14893,47352.598,14872,46902.939999999995,3.1537748789671864
1,110,1986,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,96,616,0.096,0.616,6.416666666666666,14025,46733,13929,46117,3.3108622298801063
1,110,1987,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,85,1367,0.085,1.367,16.08235294117647,14466,46291,14381,44924,3.1238439607815867
1,110,1988,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,58,1567,0.058,1.567,27.01724137931034,18904,60118,18846,58551,3.1068131168417703
1,110,1989,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,103,1772,0.103,1.772,17.203883495145632,22416,79652,22313,77880,3.4903419531214985
1,110,1990,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,70,1378,0.07,1.378,19.685714285714283,24288,100664,24218,99286,4.099677925509951
1,110,1991,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,76,1334,0.076,1.334,17.55263157894737,25338,114472,25262,113138,4.478584435119943
1,110,1992,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,107,1576,0.107,1.576,14.728971962616823,18690,94152,18583,92576,4.981757520314265
1,110,1993,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,67,710,0.067,0.71,10.597014925373132,17090,84323,17023,83613,4.911766433648593
1,110,1994,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,41,572,0.041,0.572,13.95121951219512,17441,75068,17400,74496,4.281379310344827
1,110,1995,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,48,700,0.048,0.7,14.583333333333332,21032,82706,20984,82006,3.908025162028212
1,110,1996,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,39,378,0.039,0.378,9.692307692307692,20561,88418,20522,88040,4.290030211480363
1,110,1997,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,75,815,0.075,0.815,10.866666666666667,24791,102212,24716,101397,4.1024842207476935
1,110,1998,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,14,453,0.014,0.453,32.357142857142854,19685,82620,19671,82167,4.177062681104164
1,110,1999,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,29,283,0.029,0.283,9.75862068965517,22106,87234,22077,86951,3.9385333152149298
1,110,2000,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,16,116,0.016,0.116,7.25,27585,88627,27569,88511,3.210526315789474
1,110,2001,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,18,195,0.018,0.195,10.833333333333334,14926,72665,14908,72470,4.861148376710491
1,110,2002,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,17,66,0.017,0.066,3.8823529411764706,18342,67711,18325,67645,3.691405184174625
1,110,2003,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,7,226,0.007,0.226,32.285714285714285,24869,81706,24862,81480,3.27729064435685
1,110,2004,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,17,64,0.017,0.064,3.764705882352941,26761,76711,26744,76647,2.86595124139994
1,110,2005,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,26,105,0.026,0.105,4.038461538461538,28917,91243,28891,91138,3.154546398532415
1,110,2006,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,16,44,0.016,0.044,2.75,28051,87210,28035,87166,3.1091849473871944
1,110,2007,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,40,210,0.04,0.21,5.25,28879,90324,28839,90114,3.1247269322792053
1,110,2008,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,29,132,0.029,0.132,4.551724137931035,27917,94439,27888,94307,3.3816336775674123
1,110,2009,鉄鋼,Steel,Handling operations/Machine tending,110_Handling operations/Machine tending,24,156,0.024,0.156,6.5,12244,46490,12220,46334,3.7916530278232408
