code_union,ind_union_eng,code_union_app,app_code_name_eng,year_5,quantity_sum,sales.m_sum,quantity_t_sum,sales_b_sum,q_indagg_sum,pq_indagg_sum,q_indagg_loo_sum,pq_indagg_loo_sum,quantity_mean,sales.m_mean,quantity_t_mean,sales_b_mean,q_indagg_mean,pq_indagg_mean,q_indagg_loo_mean,pq_indagg_loo_mean,unitval_m,p_indagg_loo
1,Steel,110,110_Handling operations/Machine tending,1982,185,4201.951,0.185,4.201951,43909,98180.761,43724,93978.81,37,840.3902,0.037,0.8403902000000001,8781.8,19636.1522,8744.8,18795.762000000002,22.713248648648648,2.149364422285244
1,Steel,110,110_Handling operations/Machine tending,1987,342,4654.375,0.342,4.654375,68202,210002.384,67860,205348.009,68.4,930.875,0.0684,0.930875,13640.4,42000.4768,13572,41069.6018,13.609283625730994,3.026053772472738
1,Steel,110,110_Handling operations/Machine tending,1992,414,7627,0.414,7.627,109636,449058,109222,441431,82.8,1525.4,0.0828,1.5254,21927.2,89811.6,21844.4,88286.2,18.42270531400966,4.04159418432184
1,Steel,110,110_Handling operations/Machine tending,1997,270,3175,0.27,3.175,100915,432727,100645,429552,54,635,0.054,0.635,20183,86545.4,20129,85910.4,11.75925925925926,4.267991455114512
1,Steel,110,110_Handling operations/Machine tending,2002,94,1113,0.094,1.113,102644,398857,102550,397744,18.8,222.6,0.0188,0.2226,20528.8,79771.4,20510,79548.8,11.840425531914894,3.8785372988785958
1,Steel,110,110_Handling operations/Machine tending,2007,106,649,0.106,0.649,137477,427194,137371,426545,21.2,129.8,0.0212,0.1298,27495.4,85438.8,27474.2,85309,6.122641509433962,3.1050585640346218
1,Steel,110,110_Handling operations/Machine tending,2012,163,908,0.163,0.9079999999999999,124647,395106,124484,394198,32.6,181.6,0.0326,0.18159999999999998,24929.4,79021.2,24896.8,78839.6,5.570552147239264,3.1666559557854823
1,Steel,110,110_Handling operations/Machine tending,2017,230,763,0.23,0.763,242464,675066,242234,674303,46,152.6,0.046,0.1526,48492.8,135013.2,48446.8,134860.6,3.3173913043478263,2.783684371310386
1,Steel,160,160_Welding and soldering,1982,10,238,0.01,0.238,9067,85204.415,9057,84966.415,2,47.6,0.002,0.047599999999999996,1813.4,17040.883,1811.4,16993.283,23.8,9.38129789113393
1,Steel,160,160_Welding and soldering,1987,170,1128.462,0.16999999999999998,1.128462,31846,244986.721,31676,243858.259,34,225.6924,0.034,0.22569240000000002,6369.2,48997.3442,6335.2,48771.6518,6.638011764705882,7.698518089405228
1,Steel,160,160_Welding and soldering,1992,386,3731,0.386,3.731,67484,478833,67098,475102,77.2,746.2,0.0772,0.7462,13496.8,95766.6,13419.6,95020.4,9.66580310880829,7.080717756117917
1,Steel,160,160_Welding and soldering,1997,303,2934,0.303,2.934,66250,337320,65947,334386,60.6,586.8,0.0606,0.5868,13250,67464,13189.4,66877.2,9.683168316831683,5.070526331751255
1,Steel,160,160_Welding and soldering,2002,93,1059,0.093,1.059,84362,355993,84269,354934,18.6,211.8,0.0186,0.2118,16872.4,71198.6,16853.8,70986.8,11.387096774193548,4.21191660041059
1,Steel,160,160_Welding and soldering,2007,102,6723,0.10200000000000001,6.723,128168,497429,128066,490706,20.4,1344.6,0.0204,1.3446,25633.6,99485.8,25613.2,98141.2,65.91176470588235,3.8316649227741943
1,Steel,160,160_Welding and soldering,2012,51,1809,0.051,1.809,129717,420627,129666,418818,10.2,361.8,0.010199999999999999,0.3618,25943.4,84125.4,25933.2,83763.6,35.470588235294116,3.229975475452316
1,Steel,160,160_Welding and soldering,2017,54,203,0.054,0.203,205948,611388,205894,611185,10.8,40.6,0.0108,0.0406,41189.6,122277.6,41178.8,122237,3.759259259259259,2.968444927972646
1,Steel,170,170_Dispensing,1982,0,0,0,0,1185,15728.937,1185,15728.937,0,0,0,0,237,3145.7874,237,3145.7874,NaN,13.273364556962026
1,Steel,170,170_Dispensing,1987,28,1506,0.027999999999999997,1.506,2625,39160.932,2597,37654.932,5.6,301.2,0.0056,0.3012,525,7832.1864,519.4,7530.9864,53.785714285714285,14.499396226415094
