year,code_union_type,code_union,variable,value
1974,A,1,quantity,63.84517367777972
1975,A,1,quantity,69.12829464129865
1974,D,1,quantity,0.44573335452089624
1975,D,1,quantity,0.3700937549658351
1974,E,1,quantity,0.009331597222222222
1975,E,1,quantity,0
1974,F,1,quantity,9.633911368015414e-4
1975,F,1,quantity,0.011560693641618497
1974,B,1,quantity,1.4743936895404495
1975,B,1,quantity,1.5685898181694409
1974,C,1,quantity,0.7567441937361198
1975,C,1,quantity,0.8050910999376973
1976,A,1,quantity,62.41246290801187
1976,B,1,quantity,2.4383064905005307
1976,C,1,quantity,2.5181035377113807
1976,D,1,quantity,0.4943588113777213
1976,E,1,quantity,0.05598958333333333
1976,F,1,quantity,0.07707129094412331
1977,A,1,quantity,100.91656484552279
1977,B,1,quantity,2.5487125084386153
1977,C,1,quantity,3.361344537815126
1977,D,1,quantity,0.96440489432703
1977,E,1,quantity,0.10264756944444445
1977,F,1,quantity,0.19171483622350674
1974,A,11,quantity,3.111363239657881
1975,A,11,quantity,3.3688252749170884
1974,D,11,quantity,0.17042745908151916
1975,D,11,quantity,0.14150643572223104
1974,E,11,quantity,4.3402777777777775e-4
1975,E,11,quantity,0
1974,F,11,quantity,0.002569043031470777
1975,F,11,quantity,0.030828516377649322
1974,B,11,quantity,0
1975,B,11,quantity,0
1974,C,11,quantity,0.09459302421701497
1975,C,11,quantity,0.10063638749221217
1976,A,11,quantity,3.0415430267062313
1976,B,11,quantity,0
1976,C,11,quantity,0.3147629422139226
1976,D,11,quantity,0.18901954552677577
1976,E,11,quantity,0.0026041666666666665
1976,F,11,quantity,0.20552344251766216
1977,A,11,quantity,4.917961249781812
1977,B,11,quantity,0
1977,C,11,quantity,0.42016806722689076
1977,D,11,quantity,0.36874304783092327
1977,E,11,quantity,0.004774305555555555
1977,F,11,quantity,0.5112395632626846
1974,A,12,quantity,31.73590504451039
1975,A,12,quantity,34.362017804154306
1974,D,12,quantity,0.4195137454314318
1975,D,12,quantity,0.3483235340854918
1974,E,12,quantity,0.004123263888888889
1975,E,12,quantity,0
1974,F,12,quantity,0
1975,F,12,quantity,0
1974,B,12,quantity,4.095538026501248
1975,B,12,quantity,4.357193939359557
1974,C,12,quantity,1.4188953632552248
1975,C,12,quantity,1.5095458123831824
1976,A,12,quantity,31.023738872403563
1976,B,12,quantity,6.773073584723695
1976,C,12,quantity,4.721444133208839
1976,D,12,quantity,0.4652788812966789
1976,E,12,quantity,0.024739583333333336
1976,F,12,quantity,0
1977,A,12,quantity,50.163204747774486
1977,B,12,quantity,7.079756967885042
1977,C,12,quantity,6.302521008403361
1977,D,12,quantity,0.9076751946607342
1977,E,12,quantity,0.045355902777777776
1977,F,12,quantity,0
1974,A,15,quantity,3.7336358875894575
1975,A,15,quantity,4.042590329900507
1974,D,15,quantity,3.9460511679644052
1975,D,15,quantity,3.2764182424916575
1974,E,15,quantity,0.004557291666666667
1975,E,15,quantity,0
1974,F,15,quantity,0
1975,F,15,quantity,0
1974,B,15,quantity,1169.0303742845163
1975,B,15,quantity,1243.717438050792
1974,C,15,quantity,264.5766887349909
1975,C,15,quantity,281.4799758157174
1976,A,15,quantity,3.649851632047478
