Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Machinery and mechanical appliances; industrial robots, n.e.c. or included",5,Number of items,,,2363,,922710,,48058437,,,4
H5,2017,2017,2017,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Machinery and mechanical appliances; industrial robots, n.e.c. or included",5,Number of items,,,174191,,44633788,,2207514489,,,4
H5,2018,2018,2018,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Machinery and mechanical appliances; industrial robots, n.e.c. or included",5,Number of items,,,3546,,,,67532765,,,4
H5,2018,2018,2018,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Machinery and mechanical appliances; industrial robots, n.e.c. or included",5,Number of items,,,138275,,,,1995891701,,,4
H4,2012,2012,2012,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Machinery and mechanical appliances; industrial robots, n.e.c. or included",5,Number of items,,,738,,512171,,26253225,,,4
H4,2012,2012,2012,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Machinery and mechanical appliances; industrial robots, n.e.c. or included",5,Number of items,,,68246,,30767871,,1447594821,,,4
H4,2013,2013,2013,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Machinery and mechanical appliances; industrial robots, n.e.c. or included",5,Number of items,,,1120,,497520,,25502214,,,4
H4,2013,2013,2013,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Machinery and mechanical appliances; industrial robots, n.e.c. or included",5,Number of items,,,68912,,26518981,,1247689167,,,4
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Machinery and mechanical appliances; industrial robots, n.e.c. or included",5,Number of items,,,1467,,672014,,33946601,,,4
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Machinery and mechanical appliances; industrial robots, n.e.c. or included",5,Number of items,,,92232,,28312142,,1452402957,,,4
