code_union,code_union_app,variable,value,year
1,110,quantity,51,1978
1,110,sales.m,600.75,1978
1,160,quantity,3,1978
1,160,sales.m,91,1978
1,170,quantity,0,1978
1,170,sales.m,0,1978
1,190,quantity,9,1978
1,190,sales.m,164,1978
1,200,quantity,0,1978
1,200,sales.m,0,1978
1,900,quantity,0,1978
1,900,sales.m,0,1978
11,110,quantity,0,1978
11,110,sales.m,0,1978
11,160,quantity,0,1978
11,160,sales.m,0,1978
11,170,quantity,0,1978
11,170,sales.m,0,1978
11,190,quantity,0,1978
11,190,sales.m,0,1978
11,200,quantity,0,1978
11,200,sales.m,0,1978
11,900,quantity,0,1978
11,900,sales.m,0,1978
12,110,quantity,0,1978
12,110,sales.m,0,1978
12,160,quantity,30,1978
12,160,sales.m,14.55,1978
12,170,quantity,0,1978
12,170,sales.m,0,1978
12,190,quantity,0,1978
12,190,sales.m,0,1978
12,200,quantity,0,1978
12,200,sales.m,0,1978
12,900,quantity,6,1978
12,900,sales.m,32.919,1978
15,110,quantity,2588,1978
15,110,sales.m,2617.568,1978
15,160,quantity,0,1978
15,160,sales.m,0,1978
15,170,quantity,4,1978
15,170,sales.m,44.732,1978
15,190,quantity,0,1978
15,190,sales.m,0,1978
15,200,quantity,7,1978
15,200,sales.m,3.64,1978
15,900,quantity,0,1978
15,900,sales.m,0,1978
16,110,quantity,15,1978
16,110,sales.m,30.7,1978
16,160,quantity,0,1978
16,160,sales.m,0,1978
16,170,quantity,0,1978
16,170,sales.m,0,1978
16,190,quantity,0,1978
16,190,sales.m,0,1978
16,200,quantity,0,1978
16,200,sales.m,0,1978
16,900,quantity,3,1978
16,900,sales.m,24.605,1978
17,110,quantity,9,1978
17,110,sales.m,35.88,1978
17,160,quantity,0,1978
17,160,sales.m,0,1978
17,170,quantity,0,1978
17,170,sales.m,0,1978
17,190,quantity,6,1978
17,190,sales.m,8,1978
17,200,quantity,3,1978
17,200,sales.m,19,1978
17,900,quantity,34,1978
17,900,sales.m,109.919,1978
2,110,quantity,463,1978
2,110,sales.m,497.71,1978
2,160,quantity,0,1978
2,160,sales.m,0,1978
2,170,quantity,1,1978
2,170,sales.m,9.869,1978
2,190,quantity,2,1978
2,190,sales.m,19.198,1978
2,200,quantity,0,1978
2,200,sales.m,0,1978
2,900,quantity,0,1978
2,900,sales.m,2.74,1978
27,110,quantity,1,1978
27,110,sales.m,376.625,1978
27,160,quantity,0,1978
27,160,sales.m,0,1978
27,170,quantity,0,1978
27,170,sales.m,0,1978
27,190,quantity,2,1978
27,190,sales.m,17.61,1978
27,200,quantity,5,1978
27,200,sales.m,9.04,1978
27,900,quantity,49,1978
27,900,sales.m,95.212,1978
3,110,quantity,184,1978
3,110,sales.m,556.595,1978
3,160,quantity,0,1978
3,160,sales.m,0,1978
3,170,quantity,2,1978
3,170,sales.m,24.4,1978
3,190,quantity,112,1978
3,190,sales.m,1188.3,1978
3,200,quantity,0,1978
3,200,sales.m,0,1978
3,900,quantity,81,1978
3,900,sales.m,163.875,1978
4-2,110,quantity,1,1978
4-2,110,sales.m,5,1978
4-2,160,quantity,14,1978
4-2,160,sales.m,131,1978
4-2,170,quantity,3,1978
4-2,170,sales.m,45,1978
4-2,190,quantity,4,1978
4-2,190,sales.m,12,1978
4-2,200,quantity,0,1978
4-2,200,sales.m,0,1978
4-2,900,quantity,7,1978
4-2,900,sales.m,10.035,1978
4-3,110,quantity,229,1978
4-3,110,sales.m,700.982,1978
4-3,160,quantity,0,1978
4-3,160,sales.m,0,1978
4-3,170,quantity,2,1978
4-3,170,sales.m,20,1978
4-3,190,quantity,91,1978
4-3,190,sales.m,319.4,1978
4-3,200,quantity,1,1978
4-3,200,sales.m,2.37,1978
4-3,900,quantity,0,1978
4-3,900,sales.m,0,1978
4-4,110,quantity,2,1978
4-4,110,sales.m,37.5,1978
4-4,160,quantity,1,1978
4-4,160,sales.m,22,1978
4-4,170,quantity,0,1978
4-4,170,sales.m,2,1978
4-4,190,quantity,175,1978
4-4,190,sales.m,244.773,1978
4-4,200,quantity,4,1978
4-4,200,sales.m,12.8,1978
4-4,900,quantity,0,1978
4-4,900,sales.m,2.441,1978
5,110,quantity,2264,1978
5,110,sales.m,2039.766,1978
5,160,quantity,29,1978
5,160,sales.m,197.758,1978
5,170,quantity,12,1978
