code_union_ess,year_ess,asset_competitive,asset_innovation,asset_intangible,asset_IT
1,1987,126294.97135333333,1299531.7814333334,1473088.7708666667,47261.99935
1,1992,144272.155458,1788800.87502,1996793.68126,63720.65
1,1997,140962.659376,2068139.52504,2330318.16252,121215.988284
1,2002,112752.09297,1843904.73126,2121570.56878,164913.77266800002
1,2007,105784.219144,1571776.2563,1819862.10002,142301.644528
1,2012,105943.041018,1510932.21252,1736361.2625199999,119486.002344
2,1987,13584.78353,29065.347006666667,48195.48437666667,5545.353027333334
2,1992,15275.029489999999,50386.560936,73142.24766,7480.6577148
2,1997,15957.211132,64692.753124,93571.462514,12921.49746
2,2002,14374.655862,76037.99375,110590.3297,20177.68086
2,2007,14402.214064,111237.587512,149435.56252,23795.760936
2,2012,13610.78457,149308.96254,186940.4844,24020.738672
3,1987,277328.4349333333,1261387.6562666667,1609843.6042,71127.49186000001
3,1992,345950.80003600003,1885507.80628,2354852.65626,123394.03516
3,1997,386250.455486,2492698.2625,3074453.0875,195504.34649
3,2002,353429.539084,2638469.4876,3247588.575,255689.568776
3,2007,289303.12657,2466234.40042,3050556.8125,295019.265628
3,2012,231450.758204,2284614.96252,2821912.89376,305847.173464
4,1987,508245.3971366667,3290531.7606,3961273.7187666665,162496.563804
4,1992,693697.654724,4834057.75,5806051.1125,278295.7293
4,1997,651482.895346,6275861.8377,7365387.725,438042.999622
4,2002,610943.5281539999,7328348.2125,8549932.5,610640.671858
4,2007,569302.211762,8665117.6,9821076.25,586656.462538
4,2012,473586.679724,10051946.7,10991638.2,466104.76918
5,1987,646532.63811000006,12354605.635466667,13564301.854233334,563163.62177
5,1992,803750.0539439999,16245646.79388,17870822.58126,821425.683604
5,1997,728856.540678,18530995.00626,20241052.6501,981201.014912
5,2002,748913.1828439999,22745229.4626,25098352.4,1604209.96572
5,2007,673709.828932,25189015.9376,28795986.3,2933260.7719799997
5,2012,480693.407824,26188460.1,30197844.3,3528690.79382
6,1987,117149.49216666668,1049652.2916666667,1184313.9793333332,17512.18034
6,1992,126109.07346,1600453.575,1754602.3,28039.641796
6,1997,114670.88282,2126817.825,2285890.025,44401.310158
6,2002,105931.12970800001,2763276.1,2940277.1,71069.90937
6,2007,92316.025,3329333.1,3626276.2,204627.09688
6,2012,77370.645314,3389210.95,3769046.45,302464.89378
7,1987,318121.3424833333,5709374.3125,6146137.208333333,118641.51888666666
7,1992,338485.972668,8151392.6876,8669691.512600001,179812.916204
7,1997,366708.333616,10140138.175,10732001.6,225155.12423400002
7,2002,419221.931266,11434898.65,12124136.525,270015.848454
7,2007,507699.02894,13527629.875,14442050.925,406721.985964
7,2012,469318.585942,15878100.2876,16812692.775,465273.562532
8,1987,751521.4830959999,1442997.534428,2251864.5117766666,57345.47560876667
8,1992,804219.970964,2044030.478932,2951862.824244,103612.3812298
8,1997,866574.67661,2389872.1710820002,3430267.19967,173820.3530758
8,2002,954959.1074738,2541672.9926799997,3769326.24967,272694.1472702
8,2007,921051.8020319999,2711841.856504,4099657.367304,466763.732212
8,2012,826457.7299571999,2594332.82269,3985262.039094,564471.5025599999
11,1987,230894.99999666665,812533.14587,1064921.0261,21492.873618333335
11,1992,292276.801558,1285897.74068,1620280.6219,42106.0577152
11,1997,316020.543758,1691195.78438,2109576.20628,102359.872268
11,2002,331734.614112,1865630.3094,2373876.06254,176511.146106
11,2007,304389.693774,1817474.8906399999,2510242.9875,388378.421102
11,2012,253503.139076,1647141.64702,2419405.4688,518760.660566
12,1987,817027.0708413332,6737285.4324,7692007.7398333335,137695.19311933333
12,1992,971888.2821322,10172114.15628,11365304.17506,221301.76368
12,1997,1032031.7013204,12687034.48766,14061562.34692,342495.9118186
12,2002,1094463.4662738,13185928.34692,14822394.70316,542002.8852888
12,2007,1170100.648327,14273043.59694,16680722.68756,1237578.4984880001
12,2012,1114030.8975748,15590158.95944,18360075.46568,1655885.7985719999
16,1987,109978.60253666667,914104.0885999999,1035366.7917,11284.107991666666
16,1992,136501.06172,1396795.8875799999,1556582.53442,23285.5841324
16,1997,152786.703124,1730121.1625599999,1944506.65942,61598.788577
16,2002,141028.865626,1806594.02824,2046589.22818,98966.321288
16,2007,116723.311722,1676955.05632,1890520.4781799999,96842.1220742
16,2012,95760.13574,1564153.49694,1736120.24384,76206.6306628
17,1987,561156.9474746666,2556025.48772,3175967.47928,58785.070594866665
17,1992,624986.7366582,3531076.589916,4256806.635978,100743.34721632
17,1997,639223.3510202,4408156.39616,5248726.83611,201347.0975558
17,2002,555146.6875284,4456186.407206,5303533.906392,292200.7841828
17,2007,432940.3124224,4111528.968816,5092465.559428,547996.197585
17,2012,343543.1139676,4059598.470462,5112630.478952,709488.8712736
27,1987,12362086.325184332,32541483.5696489,50500936.399277,5597366.319739179
27,1992,15487788.258777,47792067.2528385,72489776.241705,9209920.758549288
27,1997,17327002.5504258,58318776.33849848,87312496.169975,11666716.99047028
27,2002,18431170.6363956,63579945.432643756,97971946.7474108,15960830.620536942
27,2007,17973725.40664144,67166674.70497575,107981760.2484246,22841360.26811302
27,2012,15299696.273330601,71401137.28385708,110832542.7678782,24131708.6179958
1,1982,1,1,1,1
2,1982,1,1,1,1
3,1982,1,1,1,1
4,1982,1,1,1,1
5,1982,1,1,1,1
6,1982,1,1,1,1
7,1982,1,1,1,1
8,1982,1,1,1,1
11,1982,1,1,1,1
12,1982,1,1,1,1
16,1982,1,1,1,1
17,1982,1,1,1,1
27,1982,1,1,1,1
1,2017,1,1,1,1
2,2017,1,1,1,1
3,2017,1,1,1,1
4,2017,1,1,1,1
5,2017,1,1,1,1
6,2017,1,1,1,1
7,2017,1,1,1,1
8,2017,1,1,1,1
