code_union_ess,year_ess,import_china,import_total
1,1982,8117.45,315854.317
1,1987,2270.608,451121.118
1,1992,51010.409,669041.3824
1,1997,66966.374,501980.281
1,2002,70213.64240000001,392041.9448
1,2007,213083.2068,817987.9102
1,2012,244224.9404,959367.3216
1,2017,231689.8145,923276.88875
2,1982,3137.914,1351154.66
2,1987,30274.322,1735373.893
2,1992,37764.2496,1890503.1086
2,1997,61685.298,1372461.2174000002
2,2002,81590.65759999999,1300025.1864
2,2007,217116.28040000002,2106175.551
2,2012,223002.64380000002,2186760.9254
2,2017,191594.3885,2136868.591
3,1982,838.53,268878.576
3,1987,701.198,274480.098
3,1992,15251.285800000001,410917.2118
3,1997,80532.0358,559183.138
3,2002,199593.85080000001,790479.213
3,2007,530586.937,1426845.1832
3,2012,664166.2554,1604431.9626
3,2017,866006.327,2042160.69675
4,1982,188.515,669858.095
4,1987,958.01,765273.607
4,1992,33763.865399999995,1183448.4082
4,1997,200131.5278,1534473.129
4,2002,431922.28119999997,2056889.2166
4,2007,1038250.0447999999,3138487.288
4,2012,1271426.5764000001,3136174.1344
4,2017,1548325.486,4125246.20725
5,1982,715.791,726472.129
5,1987,2470.246,1124825.193
5,1992,32147.8048,2026809.9666
5,1997,284710.677,4368501.206
5,2002,1011405.5206,7257545.6226
5,2007,3269602.7191999997,9841271.231
5,2012,4316360.972,9297519.173799999
5,2017,6674930.869,12363741.60775
6,1982,91.301,275934.457
6,1987,599.384,337825.221
6,1992,9185.698400000001,483823.73360000004
6,1997,56448.6096,721482.2762000001
6,2002,131422.2144,1047786.5412000001
6,2007,244233.2474,1405689.5145999999
6,2012,214800.2806,1214054.4722
6,2017,251077.7645,1460472.8275
7,1982,37.029,596877.434
7,1987,153.956,785745.243
7,1992,2370.39,1366324.9834
7,1997,22931.414,1662473.4736
7,2002,70776.6886,1977473.8724
7,2007,216808.5466,2739724.4756
7,2012,331839.4614,2508869.1534
7,2017,561562.519,3948949.02425
8,1982,57980.978,1702172.371
8,1987,95100.981,1944013.921
8,1992,210160.365,3322319.1552
8,1997,362661.7518,3838230.8932
8,2002,545171.8096,4053707.2568
8,2007,731512.18,4390822.061600001
8,2012,642934.1492000001,4399715.745399999
8,2017,817170.2845,5337479.78525
11,1982,732.51,379956.275
11,1987,1052.243,372406.53
11,1992,2726.0182,466056.45160000003
11,1997,9153.8462,470717.5272
11,2002,20359.6714,457565.4432
11,2007,70640.6582,504589.7904
11,2012,116892.8148,503412.82739999995
11,2017,150458.9545,578910.33725
12,1982,42086.866,1367289.714
12,1987,59005.401,1837485.026
12,1992,70466.1452,2149442.4128
12,1997,125265.5074,2346714.5248000002
12,2002,229050.8692,2930325.1802
12,2007,596405.8692000001,4379903.4032
12,2012,930022.3032000001,5589434.114
12,2017,1223479.055,7253162.1905
16,1982,4641.188,142424.864
16,1987,8805.885,193633.063
16,1992,22113.994,290756.9338
16,1997,74566.4372,310484.1104
16,2002,126550.9858,370236.566
16,2007,207536.6082,511742.6778
16,2012,231787.6372,516405.4212
16,2017,289863.14275,625503.38525
17,1982,245868.806,3819014.853
17,1987,434575.09,4282779.297
17,1992,725050.0018,5639057.7792
17,1997,1765626.228,6562587.9372
17,2002,2716665.848,7088362.3214
17,2007,4038775.17,9351613.71
17,2012,4216831.753,9805057.8856
17,2017,4936468.81325,11968816.95275
27,1982,605054.688,20148837.401
27,1987,872244.09,16542189.46
27,1992,489658.365,9163458.9702
27,1997,455798.5542,8357229.204399999
27,2002,402641.9162,9107079.250200002
27,2007,465137.9604,16646921.808600001
27,2012,410372.52660000004,23829274.0018
27,2017,578432.934,25135199.82325
