"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1978","1978","PER","Persons","3","Thousands",,,6445.385,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1979","1979","PER","Persons","3","Thousands",,,6519.035,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1980","1980","PER","Persons","3","Thousands",,,6692.881,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1981","1981","PER","Persons","3","Thousands",,,6810.342,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1982","1982","PER","Persons","3","Thousands",,,6909.817,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1983","1983","PER","Persons","3","Thousands",,,6997.409,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1984","1984","PER","Persons","3","Thousands",,,7135.068,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1985","1985","PER","Persons","3","Thousands",,,7300.293,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1986","1986","PER","Persons","3","Thousands",,,7587.612,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1987","1987","PER","Persons","3","Thousands",,,7757.596,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1988","1988","PER","Persons","3","Thousands",,,7974.461,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1989","1989","PER","Persons","3","Thousands",,,8227.837,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1990","1990","PER","Persons","3","Thousands",,,8443.619,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1991","1991","PER","Persons","3","Thousands",,,8483.156,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1992","1992","PER","Persons","3","Thousands",,,8551.933,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1993","1993","PER","Persons","3","Thousands",,,8587.141,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1994","1994","PER","Persons","3","Thousands",,,8749.633,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1995","1995","PER","Persons","3","Thousands",,,8946.516,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1996","1996","PER","Persons","3","Thousands",,,9070.441,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1997","1997","PER","Persons","3","Thousands",,,9130.142,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1998","1998","PER","Persons","3","Thousands",,,9225.539,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","1999","1999","PER","Persons","3","Thousands",,,9312.608,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2000","2000","PER","Persons","3","Thousands",,,9498.486,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2001","2001","PER","Persons","3","Thousands",,,9666.779,,
